Subject,Task,Run,Detected events,Retained epochs,Dropped epochs
002,auditory,run01,200,200,0
002,auditory,run02,200,200,0
002,motor,run01,73,73,0
002,motor,run02,70,70,0
002,motor,run03,74,74,0
002,rest,run01,462,462,0
002,somatosensory,run01,201,201,0
002,somatosensory,run02,204,204,0
005,auditory,run01,200,200,0
005,auditory,run02,200,200,0
005,motor,run01,78,78,0
005,motor,run02,92,92,0
005,motor,run03,76,76,0
005,rest,run01,438,438,0
005,somatosensory,run01,202,202,0
005,somatosensory,run02,198,198,0
006,auditory,run01,200,200,0
006,auditory,run02,200,200,0
006,motor,run01,45,45,0
006,motor,run02,66,66,0
006,motor,run03,55,55,0
006,rest,run01,438,438,0
006,somatosensory,run01,203,203,0
006,somatosensory,run02,204,204,0
093,auditory,run01,200,200,0
093,auditory,run02,200,200,0
093,motor,run01,87,87,0
093,motor,run02,63,63,0
093,motor,run03,71,71,0
093,rest,run01,436,436,0
093,somatosensory,run01,212,212,0
093,somatosensory,run02,205,205,0
